ID du Modèle                                     | Nom d'affichage
---------------------------------------------------------------------------------
deep-research-pro-preview-12-2025                | Deep Research Pro Preview (Dec-12-2025)
embedding-001                                    | Embedding 001
embedding-gecko-001                              | Embedding Gecko
gemini-2.0-flash                                 | Gemini 2.0 Flash
gemini-2.0-flash-001                             | Gemini 2.0 Flash 001
gemini-2.0-flash-exp                             | Gemini 2.0 Flash Experimental
gemini-2.0-flash-lite                            | Gemini 2.0 Flash-Lite
gemini-2.0-flash-lite-001                        | Gemini 2.0 Flash-Lite 001
gemini-2.0-flash-lite-preview                    | Gemini 2.0 Flash-Lite Preview
gemini-2.0-flash-lite-preview-02-05              | Gemini 2.0 Flash-Lite Preview 02-05
gemini-2.5-computer-use-preview-10-2025          | Gemini 2.5 Computer Use Preview 10-2025
gemini-2.5-flash                                 | Gemini 2.5 Flash
gemini-2.5-flash-native-audio-latest             | Gemini 2.5 Flash Native Audio Latest
gemini-2.5-flash-native-audio-preview-09-2025    | Gemini 2.5 Flash Native Audio Preview 09-2025
gemini-2.5-flash-native-audio-preview-12-2025    | Gemini 2.5 Flash Native Audio Preview 12-2025
gemini-2.5-flash-preview-09-2025                 | Gemini 2.5 Flash Preview Sep 2025
gemini-2.5-flash-preview-tts                     | Gemini 2.5 Flash Preview TTS
gemini-2.5-flash-lite                            | Gemini 2.5 Flash-Lite
gemini-2.5-flash-lite-preview-09-2025            | Gemini 2.5 Flash-Lite Preview Sep 2025
gemini-2.5-pro                                   | Gemini 2.5 Pro
gemini-2.5-pro-preview-tts                       | Gemini 2.5 Pro Preview TTS
gemini-3-pro-preview                             | Gemini 3 Pro Preview
gemini-embedding-001                             | Gemini Embedding 001
gemini-embedding-exp                             | Gemini Embedding Experimental
gemini-embedding-exp-03-07                       | Gemini Embedding Experimental 03-07
gemini-exp-1206                                  | Gemini Experimental 1206
gemini-flash-latest                              | Gemini Flash Latest
gemini-flash-lite-latest                         | Gemini Flash-Lite Latest
gemini-pro-latest                                | Gemini Pro Latest
gemini-robotics-er-1.5-preview                   | Gemini Robotics-ER 1.5 Preview
gemma-3-12b-it                                   | Gemma 3 12B
gemma-3-1b-it                                    | Gemma 3 1B
gemma-3-27b-it                                   | Gemma 3 27B
gemma-3-4b-it                                    | Gemma 3 4B
gemma-3n-e2b-it                                  | Gemma 3n E2B
gemma-3n-e4b-it                                  | Gemma 3n E4B
imagen-4.0-generate-001                          | Imagen 4
imagen-4.0-generate-preview-06-06                | Imagen 4 (Preview)
imagen-4.0-fast-generate-001                     | Imagen 4 Fast
imagen-4.0-ultra-generate-001                    | Imagen 4 Ultra
imagen-4.0-ultra-generate-preview-06-06          | Imagen 4 Ultra (Preview)
aqa                                              | Model that performs Attributed Question Answering.
gemini-2.5-flash-image-preview                   | Nano Banana
gemini-2.5-flash-image                           | Nano Banana
gemini-3-pro-image-preview                       | Nano Banana Pro
nano-banana-pro-preview                          | Nano Banana Pro
text-embedding-004                               | Text Embedding 004
veo-2.0-generate-001                             | Veo 2
veo-3.0-generate-001                             | Veo 3
veo-3.0-fast-generate-001                        | Veo 3 fast
veo-3.1-generate-preview                         | Veo 3.1
veo-3.1-fast-generate-preview                    | Veo 3.1 fast
